manufacturer_id,name
3,VOLVO GROUP INDIA PVT LTD
4,3EV INDUSTRIES PVT LTD
5,3GB TECHNOLOGY PVT LTD
6,3S INDUSTRIES PRIVATE LIMITED
7,A AND Z MOTOR CO P LTD
8,A B EXCAVATORS & EARTHMOVER LTD
9,A B K AGRO INDUSTRIES
10,A B K ENGINEERING CO.
11,A D AGRO WORKS
12,A K ENGINEERING WORKS
13,A P I MOTORS PVT LTD
14,A P TRAILERS
15,A R T WELDING WORKS
16,A1 HEAVY EQUIPMENTS DEVELOPER
17,A3T INCORPORTED
18,AADHYA ENTERPRISES
19,AARON INDUSTRIES
20,AARYA AUTOMOBILES
21,ABHISHEK ENGINEERING WORKS
22,ABIRAMI ENGINEERING WORKS
23,ABRA MOTORS PVT LTD
24,ACC CRANE
25,ACCRETION POWER AUTOS
26,ACTION CONSTRUCTION EQUIPMENT LTD.
27,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.
28,ADISHAKTI TRACTORS
29,ADITYA ENGINEERING
30,ADITYA ENTERPRISES
31,ADITYA SAI INDUSTRIES
32,AEC TRAILERS
33,AGRASEN ENGINEERING WORKS
34,AGRI & IND. MACHINERY SUPPLIER
35,AGRI IMPLEMENTS
36,AGRI KING TRACTORS & EQUIPMENTS PVT LTD
37,AGRO INDUSTRIES
38,AGROLUX TRACTOR
39,AIMS FARM EQUIPMENTS PVT LTD
40,AJAX FIORI ENGINEERING PVT LTD
41,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.
42,AJINKYA TRAILER AND FABRICATOR
43,AJS MOTORCYCLES LTD
44,AKASH AGRO INDUSTRIES
45,AKASH TRAILERS AND FAB.WOR
46,AKASH TRAILOR
47,AKKI AGRO INDUSTRIES
48,AKSHAR AGRO LNDUSTRIES
49,ALAWAR AUTO IND.BABRA
50,ALFA MOTORS
51,ALL TERRAIN CRANE
52,ALPHA SERVICES
53,AMAN AGRO INDUSTRIES
54,AMAR AGRO IND LTD
55,AMAR AGRO SALES
56,AMARESHWAR AGRO INDUSTRIES
57,AMBARKAR INDUSTRIES
58,AMBICA INDUSTRIES
59,AMBIKA INDUSTRIES
60,AMIT AGRO WORKS
61,AMMAN ENGINEERING COMPANY
62,AMPERE VEHICLES PVT LTD
63,"AMRIT ENGG WORKS,DKL"
64,AMUTHA TRAILERS
65,AMW MOTORS LIMITED
66,ANAMALAI TRACTOR
67,ANAND AGRO IND LTD
68,ANAND MACHINERY
69,ANBU TRAILERS
70,ANDAVAR INDUSTRIES
71,ANDAVAR TRAILOR
72,ANDHRA PRADESH SCOOTERS LTD
73,ANGAD COMPANY LTD
74,ANIL INDUSTRIES
75,ANJANEYA AGRO LTD
76,ANNAI ENGINEERING WORKS
77,ANNAMALAI TRAILORS
78,ANNAPURNA INDUSTRIES
79,ANURADHA PADDY UDHYOG
80,APE AUTO
81,API MOTORS PVT LTD
82,APM AUTO SALES
83,APOLLO CARMIX EQUIPMENTS PVT LTD
84,APOLLO CONSTRUCTION EQUIPMENTS PVT LTD
85,APTHA ENGINEERING WORKS
86,ARASAN AND CO.
87,ARIEEM WELDING WORKS
88,ARJUN INDUSTRIES
89,ARJUN MOTORS PVT LTD
90,ARTEMIS AUTO INDIA P LTD
91,ARTI ENTERPRISES
92,ARUL MOTORS
93,ARUN INDUSTRIES
94,ARUNACHALA TRAILERS
95,ARYA MOTORS
96,ASHISH AGRO INDUSTRIES
97,ASHISH TRAILER WORKS
98,ASHLEY PL HAUWEL TRAILER
99,ASHOK LEYLAND DEFENCE SYSTEMS LTD
100,ASHOK LEYLAND JOHN DEERE CONST EQUIP COMP PVT LTD
101,ASHOK LEYLAND LTD
102,ASHWMEGH INDUSTRIES
103,ASIA MOTORS WORK LTD
104,ASIAN POWER LINES
105,ASR MOTORS
106,ASSAM FABRICATION WORKS
107,ASSEMBLED
108,ASSOCIATED AUTOMOBILES
109,ASTON MARTIN LAGONDA PVT LTD
110,ATLAS AUTO INDUSTRIES
111,ATLAS COPCO INDIA LIMITED
112,ATUL AUTO LTD
113,ATULPD ATULSHAKTI TRAILER
114,AUDI AG
115,AUTOCROLA INDIA LTD
116,AUTOMOBILE PRODUCTS OF INDIA
117,AUTOMOTIVE INDIA PVT LTD
118,AVATAR ENGINEERING WORK
119,AVTAR AGRO INDUSTRIES
120,AWACHAT INDUSTRIES LTD
121,AZAD HIND ENGINEERING WORKS
122,B F ENGINEERING WORKS
123,B K ENGINEERING
124,B S AUTOMOBILES
125,BA LTD
126,BABY HINDUSTAN
127,BAFNA AUTO CARS I PVT.LTD.
128,BAGLAN AGRO EUIPMENT
129,BAHARAT AGRO EQUIPMENTS
130,BAJAJ AUTO LTD
131,BAJAJ IMPLEMENTS PVT LTD
132,BAJAJ IMPLEMENTS PVT. LTD
133,BAJAJ MILL STORES
134,BAJAJ TEMPO LIMITED
135,BALAJEE ENGINEERING
136,BALAJI AGRO INDUSTRIES
137,BALAJI ENGINEERING
138,BALAJI INDUSTRIES
139,BALAMURUGAN ENGINEERING WORKS
140,BALAWAN TRACTORS LTD
